observation_id,source_class,calibrated_predicted_class,label_quality,label_source,temporal_status,frp,brightness,detections_30d,distinct_active_days_30d,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,independent_industrial_distance_km,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other
FW25_00540793,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,RECURRENT,4.48,344.51,4,1,0.7040561,0.19554016,1.5452098,1.0038284,1.0041693130135532,0.0641413658174322,0.1601661213913718,0.7756925127911958
FW25_00037441,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.66,299.2,9,9,0.32397652,5.885852,0.54116625,0.8189601,0.6526407161201044,0.0684960215485894,0.1156200694310388,0.8158839090203718
FW25_00520930,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,5.26,352.61,0,0,0.58439106,0.18196848,1.3122867,53.357746,1.138691881966601,0.0793904043870311,0.0097099328163811,0.9108996627965876
FW25_00548565,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.82,299.0,14,11,1.1041516,1.2152958,2.470334,2.9210656,1.7168134331272693,0.0833153910473525,0.0189874982501699,0.8976971107024775
FW25_00056788,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,2.09,306.66,13,12,0.14392312,17.474054,0.3631713,2.7117343,0.6120211027030691,0.0842902136179963,0.0236386912623102,0.8920710951196934
FW25_00638534,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.11,302.58,9,8,0.45184672,5.698083,0.72953296,0.8116217,0.7867350696848718,0.0849582120356518,0.1233768735194922,0.7916649144448559
FW25_00623983,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,2.88,332.26,0,0,1.541321,1.6857449,1.3523216,18.465256,1.5888840973638192,0.0850236514114465,0.3507919697019546,0.5641843788865989
FW25_00510618,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,16.73,346.47,0,0,0.67399865,1.6074902,1.3316671,1.5187787,1.6719952311266546,0.091600107655785,0.3800780439147434,0.5283218484294715
FW25_00504008,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,EPISODIC,1.83,305.78,1,1,0.39550838,17.750895,0.57318157,5.945872,0.32299549231397173,0.0923132233744727,0.0786264557677279,0.8290603208577993
FW25_00052379,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.66,307.7,16,16,0.08470416,8.019442,0.4922021,5.37753,0.5504578208559733,0.09757014885698,0.0088272772134783,0.8936025739295416
FW25_00081039,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,2.09,306.55,5,4,0.09537259,17.981327,0.79479825,6.0216,0.15593806020152828,0.099380564770477,0.0594297282590351,0.8411897069704878
FW25_00512214,industrial_fire_candidate,natural_vegetation_fire,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,10.82,346.86,1,1,1.5672423,1.0121622,1.4117454,0.981535,1.771376177099167,0.1047147985129942,0.5017537759299208,0.393531425557085
FW25_00272362,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,EPISODIC,3.9,343.96,1,1,1.1886873,1.7674029,1.8058515,5.4140515,1.9465920197203728,0.1122741585525513,0.4118402549505561,0.4758855864968926
