observation_id,source_class,label_quality,label_source,label_conflict_industrial_vs_vegetation,temporal_status,detections_30d,distinct_active_days_30d,frp,brightness,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,strong_industrial_vs_vegetation_distance_km,strong_industrial_within_1_0km,strong_industrial_within_1_5km,supporting_industrial_within_1_0km,supporting_industrial_within_1_5km,independent_industrial_distance_km,industrial_reference_le_1km,industrial_reference_le_2km,actual_class,raw_prob_industrial,raw_prob_natural,raw_prob_other,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other,raw_predicted_class,calibrated_predicted_class
FW25_00458245,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,16.92,345.45,0.70030195,0.7250268,4.592335,1.1268331,0.42653114,1,1,1,1,39.813909091532025,False,False,natural_vegetation_fire,0.0346594534732933,0.7891257672012544,0.1762147793254521,0.0047294028782368,0.8834278143787059,0.1118427827430574,natural_vegetation_fire,natural_vegetation_fire
FW25_00334785,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,11.83,350.34,0.67133415,0.8508691,13.314353,20.24504,19.573708,1,1,1,1,18.183124844057218,False,False,natural_vegetation_fire,0.03226586074992,0.7676835519073744,0.2000505873427057,0.0047438726264989,0.8661369806002215,0.1291191467732795,natural_vegetation_fire,natural_vegetation_fire
FW25_00482650,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,4.51,335.73,2.428249,0.16481549,6.3855453,6.668775,4.240526,0,0,1,1,95.39955010721671,False,False,natural_vegetation_fire,0.0226332412610152,0.6634001664176771,0.3139665923213076,0.0047585502083064,0.7740515394350864,0.2211899103566071,natural_vegetation_fire,natural_vegetation_fire
FW25_00503452,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.81,335.02,0.9323489,0.98511785,5.066978,1.5760655,0.64371663,1,1,1,1,29.31891092797891,False,False,natural_vegetation_fire,0.0229660240654078,0.6516010650762329,0.3254329108583592,0.0049210271913001,0.7633898251561221,0.2316891476525779,natural_vegetation_fire,natural_vegetation_fire
FW25_00488462,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,5.34,341.09,0.96017325,0.9420929,5.0361834,0.9168005,-0.04337275,1,1,1,1,49.92450583849252,False,False,natural_vegetation_fire,0.0371151682351374,0.788961995754526,0.1739228360103365,0.0049308905169845,0.8845655652890878,0.1105035441939275,natural_vegetation_fire,natural_vegetation_fire
FW25_00565126,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,6.71,344.0,0.58255154,0.57016236,3.2814603,1.4416078,0.8590563,1,1,1,1,141.2650207102418,False,False,natural_vegetation_fire,0.0201136220191193,0.6040966968265019,0.3757896811543786,0.00501291258529,0.7160609203362475,0.2789261670784626,natural_vegetation_fire,natural_vegetation_fire
FW25_00441094,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,45.97,349.05,0.636184,0.6453478,8.205959,4.420361,3.784177,1,1,1,1,43.05126858132729,False,False,natural_vegetation_fire,0.0461084153587472,0.8346941243231284,0.1191974603181244,0.0050604474307979,0.9215334390418162,0.0734061135273858,natural_vegetation_fire,natural_vegetation_fire
FW25_00530639,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.38,331.88,5.8082714,0.30598205,2.5135033,5.718569,-0.089702606,0,0,1,1,41.64665923159711,False,False,natural_vegetation_fire,0.0118522484977295,0.4439397441219114,0.544208007380359,0.0051345750992568,0.5312438603496156,0.4636215645511276,other_uncertain,natural_vegetation_fire
FW25_00629518,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,5.06,339.01,6.4794836,0.45937634,4.221733,16.278498,9.799014,0,0,1,1,33.561716899170335,False,False,natural_vegetation_fire,0.0134055563045153,0.4759550736706087,0.510639370024876,0.0051537546399737,0.5712659785104555,0.4235802668495708,other_uncertain,natural_vegetation_fire
FW25_00541245,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.72,333.09,0.4499441,0.45922711,11.758487,0.72227466,0.27233055,1,1,1,1,43.38350372844713,False,False,natural_vegetation_fire,0.0316391798466034,0.6508281720470226,0.3175326481063739,0.0059988234521425,0.7672347340577641,0.2267664424900934,natural_vegetation_fire,natural_vegetation_fire
FW25_00269434,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.43,341.38,7.973724,0.057691228,2.7370656,17.231243,9.257519,0,0,1,1,130.1173963139145,False,False,natural_vegetation_fire,0.031868759596374,0.6407440193014554,0.3273872211021704,0.0061549942514147,0.7579095003081103,0.2359355054404749,natural_vegetation_fire,natural_vegetation_fire
FW25_00479088,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,7.02,337.26,0.29937,0.20532146,4.627109,6.6852374,6.3858676,1,1,1,1,49.81870295175426,False,False,natural_vegetation_fire,0.0222009057646051,0.5305197505597083,0.4472793436756866,0.0062335432905913,0.6392641808725171,0.3545022758368916,natural_vegetation_fire,natural_vegetation_fire
FW25_00473384,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.94,336.94,0.44244662,0.39152274,4.4773865,4.992432,4.5499854,1,1,1,1,52.633121199425815,False,False,natural_vegetation_fire,0.0293886860719986,0.5928770124129225,0.377734301515079,0.0064804107008022,0.7096333349407318,0.283886254358466,natural_vegetation_fire,natural_vegetation_fire
FW25_00484252,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.38,334.26,0.37369788,0.38922447,5.5653815,6.567745,6.1940475,1,1,1,1,62.9779447195138,False,False,natural_vegetation_fire,0.0260496255751594,0.5529295423901504,0.4210208320346903,0.0065534339044673,0.6659193029893603,0.3275272631061723,natural_vegetation_fire,natural_vegetation_fire
FW25_00042947,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.7,328.48,0.49317387,0.56144696,5.883981,1.4210356,0.9278618,1,1,1,1,167.85175404220172,False,False,natural_vegetation_fire,0.0423437738264531,0.6833661499916284,0.2742900761819185,0.0066997434276464,0.8022009631072787,0.1910992934650747,natural_vegetation_fire,natural_vegetation_fire
FW25_00085145,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,8.68,346.88,2.2410104,0.5998023,2.0776823,1.0208206,-1.2201898,0,0,1,1,25.850865359761965,False,False,natural_vegetation_fire,0.0383341097041539,0.6317091597825384,0.3299567305133077,0.0070303807915982,0.7526513112250189,0.2403183079833828,natural_vegetation_fire,natural_vegetation_fire
FW25_00031173,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,5.74,330.16,0.8150781,0.8138894,3.036387,0.95898175,0.14390367,1,1,1,1,77.45613493156671,False,False,natural_vegetation_fire,0.033902177586274,0.5956492707276475,0.3704485516860784,0.0070361745032835,0.7147770384161151,0.2781867870806014,natural_vegetation_fire,natural_vegetation_fire
FW25_00465148,other_uncertain,C_AMBIGUOUS,insufficient_or_conflicting_evidence,False,EPISODIC,0,0,13.33,340.87,0.11191682,0.093323685,4.1034346,12.292288,12.180371,1,1,1,1,45.03935115655029,False,False,other_uncertain,0.0320249275416018,0.5674372248593301,0.400537847599068,0.0072160028246847,0.6845285178742775,0.3082554793010377,natural_vegetation_fire,natural_vegetation_fire
FW25_00425112,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,0.73,310.95,2.8453815,0.59498227,2.7292697,3.6150877,0.76970625,0,0,1,1,86.18233343599374,False,False,natural_vegetation_fire,0.021472607030097,0.4459340828066996,0.5325933101632033,0.0073680615875927,0.5387878847736569,0.4538440536387503,other_uncertain,natural_vegetation_fire
FW25_00365944,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.65,311.76,7.408417,0.5872967,5.0288496,23.97082,16.562403,0,0,1,1,41.907649379168056,False,False,natural_vegetation_fire,0.0456961009962018,0.6589335255091898,0.2953703734946083,0.0073961265050884,0.7819779353458832,0.2106259381490283,natural_vegetation_fire,natural_vegetation_fire
FW25_00194776,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.76,330.39,0.8813787,0.8818555,13.275347,5.919515,5.0381365,1,1,1,1,25.840707730397117,False,False,natural_vegetation_fire,0.0562016546282514,0.7183040716141196,0.225494273757629,0.0074000611384145,0.8392386421370046,0.1533612967245806,natural_vegetation_fire,natural_vegetation_fire
FW25_00333604,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.75,333.64,0.30435237,0.3114398,9.597698,6.7200284,6.415676,1,1,1,1,14.361416084296794,False,False,natural_vegetation_fire,0.0477547429923182,0.6698052224104913,0.2824400345971904,0.0074263867637959,0.7929221798685536,0.1996514333676504,natural_vegetation_fire,natural_vegetation_fire
FW25_00606327,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.75,328.72,0.4603673,0.49178118,4.140443,4.777842,4.317475,1,1,1,1,95.96765605897745,False,False,natural_vegetation_fire,0.0354694386619196,0.5745429299538549,0.3899876313842254,0.0075705775994838,0.6937770064015697,0.2986524159989465,natural_vegetation_fire,natural_vegetation_fire
FW25_00044562,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,4.19,330.74,0.62271255,0.24372786,6.906938,5.85064,5.227927,1,1,1,1,81.62922847950749,False,False,natural_vegetation_fire,0.050380487029683,0.6699717101558499,0.2796478028144671,0.0076734849700382,0.7944287286241134,0.1978977864058483,natural_vegetation_fire,natural_vegetation_fire
FW25_00023030,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,3.85,334.93,3.6364672,0.33203432,3.2150915,7.800496,4.164029,0,0,1,1,12.727179978726749,False,False,natural_vegetation_fire,0.0283921177323969,0.4781716566498687,0.4934362256177343,0.0081446367401438,0.5816478799619693,0.4102074832978867,other_uncertain,natural_vegetation_fire
FW25_00646352,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,0.93,299.15,4.6824703,0.9342116,5.964055,2.0947528,-2.5877175,0,0,1,1,28.170263691870623,False,False,natural_vegetation_fire,0.0347166134602227,0.5318476842838148,0.4334357022559624,0.0081951090660482,0.6470869430750812,0.3447179478588705,natural_vegetation_fire,natural_vegetation_fire
